Willingness to take vaccine,Gender,Age,Education,Race,Financial Status,State,Census Region
yes,Male,>70,Graduate,White,Middle class,Michigan,East North Central
yes,Female,45-60,Masters,Hispanic,Middle class,New York,Mid-Atlantic
no,Male,61-70,Undergraduate,Hispanic,Middle class,Texas,West South Central
yes,Female,25-44,Masters,White,Upper middle class,Minnesota,West North Central
yes,Female,61-70,Graduate,White,Upper middle class,New York,Mid-Atlantic
yes,Female,45-60,Highschool,Black,Lower middle class/poor,Connecticut,New England
yes,Female,25-44,Graduate,Black,Middle class,Maryland,South Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Missouri,West North Central
yes,Male,61-70,Graduate,White,Upper middle class,Illinois,East North Central
yes,Female,61-70,Graduate,White,Middle class,Kentucky,East South Central
yes,Female,61-70,Graduate,White,Middle class,Maryland,South Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,South Carolina,South Atlantic
yes,Female,>70,Undergraduate,White,Middle class,Michigan,East North Central
no,Male,25-44,Middle school or less,Hispanic,Upper middle class,Maryland,South Atlantic
yes,Female,61-70,Highschool,White,Lower middle class/poor,Illinois,East North Central
yes,Female,45-60,Highschool,White,Upper middle class,Michigan,East North Central
yes,Female,25-44,Highschool,White,Middle class,Michigan,East North Central
no,Female,61-70,Highschool,Hispanic,Lower middle class/poor,North Carolina,South Atlantic
yes,Female,>70,Undergraduate,White,Middle class,Texas,West South Central
yes,Male,>70,Masters,White,Upper middle class,Virginia,South Atlantic
yes,Female,45-60,Graduate,Black,Middle class,Maryland,South Atlantic
yes,Female,61-70,Graduate,White,Middle class,New Jersey,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Illinois,East North Central
no,Female,45-60,Graduate,White,Middle class,Michigan,East North Central
no,Female,25-44,Middle school or less,Hispanic,Upper middle class,Iowa,West North Central
yes,Male,61-70,Graduate,White,Middle class,South Carolina,South Atlantic
yes,Female,61-70,Highschool,White,Upper middle class,California,Pacific
no,Female,45-60,Undergraduate,White,Middle class,North Carolina,South Atlantic
yes,Female,61-70,Highschool,White,Middle class,Kentucky,East South Central
yes,Female,25-44,Middle school or less,White,Middle class,Michigan,East North Central
yes,Female,>70,Highschool,White,Middle class,North Carolina,South Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Wisconsin,East North Central
no,Female,61-70,Undergraduate,Black,Lower middle class/poor,New York,Mid-Atlantic
yes,Female,25-44,Highschool,White,Lower middle class/poor,Maine,New England
yes,Female,61-70,Undergraduate,White,Middle class,California,Pacific
yes,Female,61-70,Highschool,White,Middle class,Kansas,West North Central
yes,Male,>70,Masters,White,Upper middle class,Tennessee,East South Central
yes,Female,>70,Undergraduate,White,Middle class,Ohio,East North Central
no,Female,>70,Graduate,Black,Middle class,Michigan,East North Central
yes,Male,>70,Middle school or less,White,Middle class,Tennessee,East South Central
yes,Female,25-44,Highschool,White,Middle class,Michigan,East North Central
yes,Female,>70,Graduate,White,Upper middle class,Massachusetts,New England
yes,Male,61-70,Graduate,White,Upper middle class,South Carolina,South Atlantic
no,Female,>70,Masters,White,Middle class,Louisiana,West South Central
yes,Male,61-70,Highschool,White,Upper middle class,North Carolina,South Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Michigan,East North Central
yes,Male,45-60,Graduate,White,Upper middle class,Mississippi,East South Central
yes,Male,61-70,Graduate,White,Upper middle class,Indiana,East North Central
yes,Female,>70,Undergraduate,White,Middle class,New York,Mid-Atlantic
yes,Male,18-24,Highschool,White,Middle class,Michigan,East North Central
yes,Female,61-70,Masters,White,Middle class,Massachusetts,New England
yes,Female,61-70,Graduate,White,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Graduate,Other,Upper middle class,Texas,West South Central
yes,Female,61-70,Highschool,White,Middle class,Michigan,East North Central
yes,Female,>70,Masters,White,Middle class,Michigan,East North Central
yes,Male,>70,Undergraduate,White,Middle class,Minnesota,West North Central
no,Female,45-60,Undergraduate,White,Middle class,Texas,West South Central
yes,Female,18-24,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,61-70,Graduate,White,Middle class,Florida,South Atlantic
yes,Male,>70,Middle school or less,White,Middle class,South Carolina,South Atlantic
no,Female,61-70,Graduate,White,Middle class,Michigan,East North Central
yes,Female,61-70,Masters,White,Middle class,Connecticut,New England
yes,Female,18-24,Highschool,White,Lower middle class/poor,New York,Mid-Atlantic
no,Female,61-70,Highschool,White,Lower middle class/poor,West Virginia,South Atlantic
yes,Male,61-70,Highschool,White,Middle class,Illinois,East North Central
yes,Male,45-60,Undergraduate,White,Lower middle class/poor,Michigan,East North Central
yes,Female,>70,Undergraduate,White,Middle class,Georgia,South Atlantic
yes,Female,>70,Undergraduate,White,Lower middle class/poor,Michigan,East North Central
no,Male,>70,Undergraduate,White,Upper middle class,Texas,West South Central
yes,Female,>70,Undergraduate,White,Upper middle class,Tennessee,East South Central
yes,Male,61-70,Middle school or less,Black,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Graduate,White,Middle class,Michigan,East North Central
yes,Female,>70,Middle school or less,White,Middle class,Maryland,South Atlantic
yes,Male,>70,Undergraduate,White,Middle class,Ohio,East North Central
yes,Female,61-70,Masters,White,Upper middle class,Iowa,West North Central
yes,Male,61-70,Middle school or less,White,Middle class,Missouri,West North Central
yes,Female,>70,Highschool,White,Middle class,Arizona,Mountain
yes,Female,>70,Masters,White,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Middle school or less,White,Upper middle class,California,Pacific
yes,Male,61-70,Middle school or less,Hispanic,Middle class,Texas,West South Central
no,Male,>70,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Undergraduate,White,Upper middle class,Texas,West South Central
yes,Male,25-44,Middle school or less,Black,Lower middle class/poor,Ohio,East North Central
no,Female,25-44,Highschool,White,Middle class,New York,Mid-Atlantic
no,Female,45-60,Highschool,Black,Middle class,Ohio,East North Central
yes,Female,61-70,Graduate,White,Middle class,Massachusetts,New England
yes,Female,25-44,Graduate,White,Middle class,Michigan,East North Central
no,Female,25-44,Graduate,Black,Middle class,Florida,South Atlantic
yes,Female,25-44,Masters,Hispanic,Upper middle class,New York,Mid-Atlantic
no,Female,45-60,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,Hispanic,Middle class,California,Pacific
yes,Female,61-70,Highschool,White,Lower middle class/poor,Ohio,East North Central
yes,Female,45-60,Middle school or less,Black,Lower middle class/poor,Maryland,South Atlantic
yes,Female,>70,Graduate,White,Upper middle class,Iowa,West North Central
yes,Male,61-70,Graduate,White,Middle class,North Carolina,South Atlantic
no,Female,18-24,Undergraduate,Other,Middle class,DC,South Atlantic
no,Female,61-70,Highschool,White,Middle class,Oregon,Pacific
yes,Female,45-60,Graduate,Other,Upper middle class,California,Pacific
yes,Male,61-70,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Male,25-44,Masters,White,Middle class,Florida,South Atlantic
yes,Female,>70,Graduate,White,Upper middle class,DC,South Atlantic
yes,Female,>70,Masters,White,Upper middle class,Ohio,East North Central
no,Female,45-60,Middle school or less,Black,Middle class,Ohio,East North Central
yes,Female,25-44,Masters,White,Middle class,Michigan,East North Central
yes,Female,25-44,Highschool,Black,Middle class,Georgia,South Atlantic
yes,Male,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Masters,Black,Upper middle class,Texas,West South Central
yes,Female,>70,Middle school or less,White,Lower middle class/poor,Mississippi,East South Central
yes,Female,45-60,Highschool,Black,Upper middle class,Maryland,South Atlantic
no,Female,25-44,Undergraduate,Hispanic,Middle class,California,Pacific
yes,Male,>70,Undergraduate,Black,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Masters,White,Upper middle class,Minnesota,West North Central
yes,Female,25-44,Graduate,Asian,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Masters,Asian,Upper middle class,Indiana,East North Central
yes,Male,>70,Undergraduate,White,Upper middle class,Michigan,East North Central
yes,Female,45-60,Highschool,Black,Middle class,Delaware,South Atlantic
yes,Female,>70,Undergraduate,Other,Middle class,Ohio,East North Central
no,Male,25-44,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,61-70,Highschool,White,Middle class,Texas,West South Central
yes,Female,>70,Graduate,White,Middle class,California,Pacific
yes,Male,>70,Middle school or less,White,Middle class,Mississippi,East South Central
yes,Female,25-44,Graduate,White,Upper middle class,Michigan,East North Central
yes,Female,45-60,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,61-70,Graduate,White,Middle class,Tennessee,East South Central
no,Female,45-60,Highschool,Black,Middle class,Kentucky,East South Central
yes,Female,61-70,Graduate,White,Middle class,South Carolina,South Atlantic
yes,Female,25-44,Masters,Other,Lower middle class/poor,Colorado,Mountain
yes,Male,>70,Graduate,White,Middle class,Illinois,East North Central
yes,Female,61-70,Undergraduate,White,Middle class,Colorado,Mountain
no,Female,61-70,Highschool,White,Lower middle class/poor,Texas,West South Central
yes,Male,45-60,Highschool,Black,Lower middle class/poor,Tennessee,East South Central
yes,Male,61-70,Undergraduate,White,Middle class,California,Pacific
yes,Female,61-70,Masters,White,Middle class,Nevada,Mountain
yes,Female,61-70,Masters,White,Middle class,Texas,West South Central
yes,Female,61-70,Graduate,White,Middle class,South Dakota,West North Central
yes,Female,>70,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,61-70,Graduate,Black,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Undergraduate,White,Middle class,Texas,West South Central
no,Female,61-70,Middle school or less,Asian,Middle class,Tennessee,East South Central
yes,Male,61-70,Masters,White,Upper middle class,California,Pacific
yes,Female,61-70,Graduate,White,Wealthy,Minnesota,West North Central
yes,Male,45-60,Highschool,Black,Middle class,Illinois,East North Central
yes,Male,61-70,Highschool,White,Lower middle class/poor,Texas,West South Central
yes,Female,61-70,Masters,White,Upper middle class,California,Pacific
yes,Female,61-70,Graduate,White,Middle class,Kansas,West North Central
yes,Female,61-70,Undergraduate,White,Middle class,Kentucky,East South Central
yes,Male,>70,Masters,White,Middle class,Texas,West South Central
yes,Female,61-70,Graduate,White,Upper middle class,Maryland,South Atlantic
yes,Female,61-70,Highschool,White,Upper middle class,Florida,South Atlantic
yes,Male,>70,Masters,Asian,Upper middle class,Missouri,West North Central
yes,Female,61-70,Middle school or less,White,Upper middle class,California,Pacific
yes,Female,45-60,Undergraduate,White,Middle class,Mississippi,East South Central
yes,Female,>70,Undergraduate,White,Middle class,West Virginia,South Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Illinois,East North Central
yes,Male,25-44,Undergraduate,White,Middle class,Mississippi,East South Central
yes,Male,>70,Undergraduate,White,Lower middle class/poor,Ohio,East North Central
yes,Female,61-70,Middle school or less,Hispanic,Middle class,Tennessee,East South Central
yes,Male,>70,Highschool,White,Middle class,Minnesota,West North Central
yes,Female,>70,Undergraduate,White,Middle class,California,Pacific
yes,Female,61-70,Undergraduate,White,Middle class,Iowa,West North Central
yes,Male,>70,Undergraduate,White,Middle class,Tennessee,East South Central
yes,Male,61-70,Middle school or less,White,Lower middle class/poor,Vermont,New England
yes,Female,61-70,Highschool,White,Middle class,South Carolina,South Atlantic
yes,Male,25-44,Middle school or less,Black,Middle class,Washington,Pacific
yes,Male,61-70,Undergraduate,White,Lower middle class/poor,New York,Mid-Atlantic
yes,Male,>70,Masters,White,Upper middle class,Texas,West South Central
yes,Male,61-70,Graduate,White,Upper middle class,Washington,Pacific
yes,Female,61-70,Graduate,White,Middle class,New York,Mid-Atlantic
yes,Female,45-60,Middle school or less,White,Middle class,Michigan,East North Central
yes,Male,>70,Undergraduate,White,Upper middle class,South Carolina,South Atlantic
yes,Male,61-70,Undergraduate,White,Middle class,Texas,West South Central
no,Male,>70,Undergraduate,White,Lower middle class/poor,Arizona,Mountain
no,Female,25-44,Highschool,Black,Lower middle class/poor,Georgia,South Atlantic
yes,Female,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Undergraduate,White,Middle class,Illinois,East North Central
no,Male,>70,Highschool,White,Middle class,Texas,West South Central
yes,Female,25-44,Middle school or less,White,Lower middle class/poor,Michigan,East North Central
yes,Male,>70,Undergraduate,White,Lower middle class/poor,Arkansas,West South Central
yes,Male,25-44,Highschool,Black,Middle class,Kansas,West North Central
yes,Female,61-70,Graduate,White,Upper middle class,Massachusetts,New England
yes,Female,61-70,Graduate,White,Upper middle class,Texas,West South Central
no,Female,45-60,Middle school or less,Black,Lower middle class/poor,New York,Mid-Atlantic
yes,Male,61-70,Graduate,White,Upper middle class,Texas,West South Central
yes,Female,45-60,Highschool,Black,Middle class,North Carolina,South Atlantic
yes,Male,>70,Masters,White,Middle class,Utah,Mountain
yes,Female,61-70,Undergraduate,White,Middle class,Texas,West South Central
yes,Female,45-60,Middle school or less,White,Middle class,Michigan,East North Central
yes,Female,25-44,Highschool,White,Upper middle class,Ohio,East North Central
yes,Female,>70,Undergraduate,White,Upper middle class,Oregon,Pacific
yes,Male,>70,Highschool,White,Lower middle class/poor,Florida,South Atlantic
no,Female,45-60,Highschool,Black,Middle class,Maryland,South Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Texas,West South Central
yes,Male,61-70,Middle school or less,White,Middle class,Ohio,East North Central
yes,Female,45-60,Masters,White,Middle class,Virginia,South Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,Michigan,East North Central
yes,Female,61-70,Undergraduate,White,Middle class,California,Pacific
no,Female,18-24,Middle school or less,Black,Middle class,Louisiana,West South Central
no,Female,45-60,Masters,Black,Middle class,Maryland,South Atlantic
yes,Female,25-44,Highschool,Black,Upper middle class,Ohio,East North Central
yes,Female,61-70,Undergraduate,White,Middle class,Minnesota,West North Central
yes,Female,25-44,Highschool,Hispanic,Lower middle class/poor,Minnesota,West North Central
yes,Female,45-60,Undergraduate,White,Upper middle class,Mississippi,East South Central
no,Male,25-44,Graduate,Other,Middle class,Ohio,East North Central
yes,Female,25-44,Masters,Hispanic,Middle class,Colorado,Mountain
yes,Female,25-44,Masters,Other,Middle class,Texas,West South Central
yes,Female,45-60,Graduate,Hispanic,Middle class,Tennessee,East South Central
yes,Female,61-70,Middle school or less,Black,Middle class,Texas,West South Central
yes,Female,25-44,Masters,Hispanic,Middle class,Texas,West South Central
yes,Female,25-44,Graduate,Black,Middle class,Tennessee,East South Central
yes,Female,61-70,Graduate,Black,Middle class,Ohio,East North Central
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Michigan,East North Central
yes,Female,45-60,Undergraduate,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
no,Female,45-60,Masters,Black,Middle class,Maryland,South Atlantic
yes,Female,25-44,Graduate,Hispanic,Middle class,Texas,West South Central
yes,Male,61-70,Masters,Hispanic,Middle class,Colorado,Mountain
yes,Female,45-60,Graduate,Hispanic,Middle class,Florida,South Atlantic
yes,Male,25-44,Middle school or less,Other,Lower middle class/poor,California,Pacific
yes,Female,25-44,Highschool,Hispanic,Middle class,Illinois,East North Central
yes,Female,>70,Highschool,Asian,Upper middle class,Oregon,Pacific
yes,Female,18-24,Highschool,Hispanic,Middle class,Utah,Mountain
no,Female,25-44,Highschool,Black,Middle class,Georgia,South Atlantic
no,Female,25-44,Undergraduate,Black,Lower middle class/poor,California,Pacific
yes,Female,61-70,Graduate,White,Upper middle class,Oklahoma,West South Central
yes,Female,61-70,Graduate,White,Lower middle class/poor,Michigan,East North Central
yes,Female,18-24,Middle school or less,Other,Middle class,California,Pacific
no,Female,61-70,Highschool,Black,Middle class,Georgia,South Atlantic
yes,Male,61-70,Highschool,Black,Lower middle class/poor,Georgia,South Atlantic
yes,Female,>70,Middle school or less,White,Middle class,Massachusetts,New England
yes,Male,>70,Masters,White,Middle class,Texas,West South Central
yes,Male,61-70,Middle school or less,Other,Lower middle class/poor,Florida,South Atlantic
yes,Female,61-70,Highschool,Other,Lower middle class/poor,North Carolina,South Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,South Carolina,South Atlantic
yes,Female,25-44,Graduate,Asian,Middle class,Virginia,South Atlantic
yes,Female,18-24,Highschool,White,Upper middle class,Virginia,South Atlantic
yes,Female,25-44,Highschool,White,Middle class,Michigan,East North Central
yes,Female,18-24,Highschool,Asian,Lower middle class/poor,Illinois,East North Central
no,Male,61-70,Highschool,Hispanic,Lower middle class/poor,Texas,West South Central
yes,Female,18-24,Highschool,White,Middle class,Massachusetts,New England
yes,Female,18-24,Highschool,White,Middle class,Washington,Pacific
yes,Male,18-24,Highschool,White,Middle class,Wyoming,Mountain
yes,Female,25-44,Undergraduate,White,Middle class,Ohio,East North Central
yes,Female,>70,Highschool,White,Middle class,Michigan,East North Central
yes,Male,61-70,Graduate,White,Middle class,New York,Mid-Atlantic
yes,Male,25-44,Highschool,White,Upper middle class,California,Pacific
yes,Female,>70,Middle school or less,White,Middle class,Missouri,West North Central
yes,Female,18-24,Highschool,White,Middle class,Utah,Mountain
no,Female,18-24,Highschool,Hispanic,Lower middle class/poor,Utah,Mountain
no,Male,45-60,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,25-44,Graduate,White,Middle class,Utah,Mountain
no,Female,61-70,Undergraduate,Black,Middle class,Missouri,West North Central
yes,Male,>70,Undergraduate,White,Middle class,Georgia,South Atlantic
yes,Female,25-44,Highschool,Other,Lower middle class/poor,California,Pacific
yes,Female,18-24,Middle school or less,White,Lower middle class/poor,Utah,Mountain
yes,Female,45-60,Highschool,Black,Lower middle class/poor,Ohio,East North Central
yes,Female,18-24,Highschool,White,Lower middle class/poor,Utah,Mountain
yes,Male,18-24,Highschool,Black,Upper middle class,Virginia,South Atlantic
yes,Male,18-24,Highschool,White,Lower middle class/poor,Utah,Mountain
yes,Female,25-44,Middle school or less,Hispanic,Lower middle class/poor,California,Pacific
yes,Female,>70,Highschool,Black,Lower middle class/poor,Ohio,East North Central
no,Female,61-70,Middle school or less,Hispanic,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,Michigan,East North Central
yes,Female,18-24,Highschool,White,Upper middle class,Virginia,South Atlantic
yes,Female,25-44,Masters,Asian,Middle class,Connecticut,New England
yes,Female,45-60,Graduate,White,Middle class,Iowa,West North Central
yes,Male,61-70,Masters,Hispanic,Wealthy,California,Pacific
yes,Male,61-70,Middle school or less,White,Middle class,Tennessee,East South Central
no,Female,45-60,Highschool,White,Middle class,Arizona,Mountain
no,Female,25-44,Highschool,Other,Middle class,Kentucky,East South Central
yes,Female,45-60,Graduate,Black,Lower middle class/poor,Kentucky,East South Central
yes,Male,45-60,Middle school or less,Hispanic,Middle class,California,Pacific
yes,Female,45-60,Undergraduate,Hispanic,Middle class,California,Pacific
yes,Female,25-44,Undergraduate,Other,Upper middle class,South Carolina,South Atlantic
yes,Male,>70,Masters,White,Upper middle class,Oregon,Pacific
yes,Male,25-44,Graduate,Other,Middle class,Louisiana,West South Central
yes,Female,>70,Graduate,White,Middle class,Texas,West South Central
yes,Female,61-70,Masters,Black,Middle class,Maryland,South Atlantic
yes,Female,25-44,Undergraduate,Asian,Middle class,Kentucky,East South Central
yes,Female,25-44,Highschool,White,Middle class,North Carolina,South Atlantic
yes,Male,18-24,Middle school or less,Hispanic,Wealthy,Utah,Mountain
yes,Female,25-44,Highschool,Black,Middle class,Kentucky,East South Central
yes,Female,25-44,Highschool,Black,Lower middle class/poor,Louisiana,West South Central
yes,Female,61-70,Highschool,White,Lower middle class/poor,Texas,West South Central
yes,Female,18-24,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,61-70,Middle school or less,White,Upper middle class,Washington,Pacific
yes,Female,61-70,Highschool,Black,Middle class,Louisiana,West South Central
no,Female,18-24,Middle school or less,Hispanic,Middle class,New York,Mid-Atlantic
yes,Male,45-60,Middle school or less,Black,Upper middle class,Kentucky,East South Central
yes,Female,61-70,Graduate,White,Upper middle class,DC,South Atlantic
no,Female,61-70,Undergraduate,White,Lower middle class/poor,Texas,West South Central
no,Female,45-60,Highschool,White,Middle class,Michigan,East North Central
yes,Male,45-60,Highschool,White,Middle class,Ohio,East North Central
no,Female,18-24,Graduate,Hispanic,Middle class,Maryland,South Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,Colorado,Mountain
yes,Female,61-70,Highschool,Black,Middle class,Kentucky,East South Central
yes,Female,18-24,Highschool,Other,Middle class,South Carolina,South Atlantic
no,Male,45-60,Undergraduate,Hispanic,Middle class,Texas,West South Central
yes,Female,25-44,Undergraduate,Black,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Graduate,Hispanic,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Highschool,Hispanic,Middle class,Colorado,Mountain
no,Female,45-60,Undergraduate,Black,Middle class,Maryland,South Atlantic
no,Female,25-44,Graduate,Hispanic,Upper middle class,Texas,West South Central
yes,Male,61-70,Highschool,Other,Middle class,Maryland,South Atlantic
yes,Female,18-24,Highschool,Hispanic,Upper middle class,Wisconsin,East North Central
yes,Female,45-60,Middle school or less,Hispanic,Lower middle class/poor,New York,Mid-Atlantic
no,Female,61-70,Undergraduate,Black,Middle class,Alabama,East South Central
yes,Female,61-70,Highschool,Hispanic,Middle class,Iowa,West North Central
yes,Female,45-60,Undergraduate,White,Middle class,Kentucky,East South Central
yes,Female,25-44,Highschool,White,Upper middle class,Colorado,Mountain
yes,Female,25-44,Highschool,Hispanic,Middle class,Texas,West South Central
yes,Female,25-44,Highschool,Hispanic,Lower middle class/poor,Texas,West South Central
yes,Male,61-70,Middle school or less,White,Upper middle class,Nebraska,West North Central
yes,Female,45-60,Middle school or less,Hispanic,Middle class,Ohio,East North Central
yes,Female,61-70,Undergraduate,White,Middle class,Kentucky,East South Central
yes,Female,61-70,Graduate,White,Middle class,Nebraska,West North Central
no,Female,25-44,Middle school or less,Hispanic,Lower middle class/poor,Montana,Mountain
no,Female,45-60,Middle school or less,Other,Middle class,Kentucky,East South Central
yes,Female,25-44,Graduate,White,Middle class,DC,South Atlantic
yes,Female,61-70,Highschool,White,Middle class,Mississippi,East South Central
yes,Female,45-60,Highschool,Hispanic,Middle class,Wisconsin,East North Central
yes,Female,25-44,Highschool,White,Lower middle class/poor,Iowa,West North Central
yes,Female,25-44,Masters,Hispanic,Middle class,Louisiana,West South Central
yes,Female,25-44,Graduate,Other,Middle class,North Carolina,South Atlantic
yes,Female,18-24,Highschool,Hispanic,Middle class,Virginia,South Atlantic
yes,Female,18-24,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,45-60,Middle school or less,Black,Middle class,Ohio,East North Central
yes,Female,18-24,Undergraduate,Hispanic,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Undergraduate,Hispanic,Middle class,Colorado,Mountain
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Middle school or less,Hispanic,Lower middle class/poor,Oklahoma,West South Central
yes,Male,61-70,Graduate,White,Middle class,Vermont,New England
yes,Male,25-44,Masters,Hispanic,Upper middle class,California,Pacific
yes,Female,61-70,Graduate,White,Middle class,Texas,West South Central
yes,Female,25-44,Highschool,Hispanic,Middle class,Maryland,South Atlantic
yes,Male,>70,Highschool,White,Middle class,Wisconsin,East North Central
yes,Female,>70,Undergraduate,White,Upper middle class,South Carolina,South Atlantic
yes,Female,18-24,Highschool,Hispanic,Lower middle class/poor,California,Pacific
yes,Female,45-60,Undergraduate,White,Upper middle class,Mississippi,East South Central
no,Female,25-44,Highschool,Black,Middle class,California,Pacific
no,Female,61-70,Graduate,White,Middle class,Arizona,Mountain
yes,Female,25-44,Middle school or less,White,Lower middle class/poor,Washington,Pacific
yes,Male,18-24,Highschool,White,Middle class,Utah,Mountain
no,Female,45-60,Graduate,White,Middle class,Michigan,East North Central
yes,Female,45-60,Graduate,Black,Middle class,Tennessee,East South Central
no,Male,25-44,Highschool,Hispanic,Lower middle class/poor,South Carolina,South Atlantic
yes,Female,25-44,Graduate,Other,Middle class,Kentucky,East South Central
yes,Female,>70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Michigan,East North Central
yes,Female,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Upper middle class,Michigan,East North Central
no,Female,25-44,Middle school or less,White,Middle class,Michigan,East North Central
yes,Male,61-70,Masters,White,Middle class,Ohio,East North Central
no,Female,18-24,Undergraduate,White,Middle class,Ohio,East North Central
yes,Male,18-24,Highschool,Other,Middle class,Virginia,South Atlantic
no,Female,45-60,Undergraduate,White,Lower middle class/poor,Michigan,East North Central
yes,Female,61-70,Graduate,White,Middle class,Texas,West South Central
yes,Male,18-24,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Undergraduate,Black,Middle class,New York,Mid-Atlantic
no,Female,45-60,Graduate,White,Middle class,Maryland,South Atlantic
yes,Female,61-70,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Middle school or less,Black,Lower middle class/poor,Ohio,East North Central
yes,Female,>70,Highschool,White,Upper middle class,Tennessee,East South Central
yes,Male,25-44,Graduate,Hispanic,Lower middle class/poor,North Carolina,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,45-60,Undergraduate,White,Middle class,Michigan,East North Central
yes,Female,25-44,Graduate,Hispanic,Middle class,New York,Mid-Atlantic
no,Male,18-24,Middle school or less,Hispanic,Middle class,Florida,South Atlantic
yes,Female,45-60,Masters,Hispanic,Upper middle class,Florida,South Atlantic
no,Female,45-60,Middle school or less,Black,Lower middle class/poor,Massachusetts,New England
no,Female,45-60,Masters,Black,Middle class,North Carolina,South Atlantic
no,Female,25-44,Highschool,Black,Upper middle class,Georgia,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,South Carolina,South Atlantic
yes,Female,45-60,Undergraduate,Black,Upper middle class,Tennessee,East South Central
yes,Female,45-60,Middle school or less,White,Lower middle class/poor,Florida,South Atlantic
yes,Female,45-60,Masters,Black,Upper middle class,Florida,South Atlantic
no,Female,45-60,Middle school or less,Black,Middle class,Ohio,East North Central
yes,Female,25-44,Masters,Black,Lower middle class/poor,Maryland,South Atlantic
no,Female,25-44,Highschool,Black,Middle class,Ohio,East North Central
yes,Female,45-60,Undergraduate,Hispanic,Upper middle class,Wisconsin,East North Central
no,Female,45-60,Undergraduate,Hispanic,Lower middle class/poor,Florida,South Atlantic
yes,Female,>70,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Michigan,East North Central
no,Female,61-70,Highschool,White,Upper middle class,Texas,West South Central
yes,Male,25-44,Highschool,Black,Middle class,California,Pacific
yes,Female,61-70,Highschool,Hispanic,Middle class,Virginia,South Atlantic
yes,Female,25-44,Highschool,Hispanic,Middle class,New York,Mid-Atlantic
yes,Male,45-60,Middle school or less,Black,Lower middle class/poor,Texas,West South Central
yes,Female,45-60,Undergraduate,Other,Middle class,Kentucky,East South Central
yes,Female,25-44,Graduate,Black,Upper middle class,Wisconsin,East North Central
no,Female,45-60,Undergraduate,Hispanic,Upper middle class,Tennessee,East South Central
no,Female,61-70,Middle school or less,Black,Middle class,Georgia,South Atlantic
yes,Female,>70,Middle school or less,Other,Middle class,Georgia,South Atlantic
no,Female,25-44,Highschool,Black,Lower middle class/poor,Ohio,East North Central
no,Female,45-60,Undergraduate,Black,Middle class,New York,Mid-Atlantic
yes,Male,45-60,Middle school or less,Hispanic,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Graduate,Black,Middle class,Indiana,East North Central
