,healthcare_worker,family_member_covid,family_member_covid_test,fam_mem_covid_dx,fm_mem_covid_hospitalized,covid_follow,covid_information_source___1,covid_information_source___2,covid_information_source___3,covid_information_source___4,covid_information_source___5,covid_information_source___6,covid_information_source___7,covid_information_source___8,covid_information_source___9,covid_information_source___10,confine,job,infection,food,death,hospital_access,covid_state,sd,ld,hw,fm,er,reopening,second_wave,number,state,belief,age,child,smoke,dm,immune,pregnant,hosp_rate,death_rate,incubation,corona,animal,screening,hand_wash,climate,sunlight,nasal_spray,hot_beverages,hand_sanitize,baby_wipes,covid_symptoms___1,covid_symptoms___2,covid_symptoms___3,covid_symptoms___4,covid_symptoms___5,vaccine_pcv_flu,mask_gloves___1,mask_gloves___2,social_distance_feet,isolation,corona_live,spread___1,spread___2,spread___3,spread___4,chloroquin,drug_trial,vaccine_trial,hospital,vent,administration,new_vaccine,new_medication,covid_vaccine,covid_vaccine_cause___1,covid_vaccine_cause___2,covid_vaccine_cause___3,covid_vaccine_cause___4,covid_vaccine_cause___5,flu_shot_y_n,Gender_string,your_age,your_education,your_race,financial_status,Census_region,Vaccine_Launch (PRE_POST)
655,0.0,0.0,,,,4.0,0,1,0,0,0.0,0,1,1,0,1,5.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0,1,,,,,,1.0,Female,5.0,3.0,White,2.0,West South Central,Yes
656,0.0,0.0,,,,6.0,1,0,0,0,0.0,0,1,0,0,0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0.0,1,0,1.0,1.0,0.0,0,1,1,1,1.0,1.0,1.0,5.0,3.0,1.0,2.0,3.0,1,,,,,,1.0,Female,4.0,2.0,White,3.0,West South Central,Yes
657,0.0,1.0,1.0,1.0,0.0,5.0,1,0,0,1,0.0,0,0,0,0,0,3.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,4.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,0,1.0,1,1,1.0,1.0,0.0,0,1,1,1,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1,,,,,,1.0,Female,5.0,4.0,White,3.0,West South Central,Yes
658,0.0,0.0,,,,6.0,0,0,0,0,0.0,0,1,0,0,0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,0,1,1.0,1.0,1.0,1,1,1,0,0.5,4.0,4.0,5.0,5.0,1.0,2.0,4.0,1,,,,,,1.0,Female,5.0,4.0,Black,3.0,West South Central,Yes
659,0.0,1.0,1.0,1.0,0.0,2.0,0,0,0,1,0.0,0,1,1,0,1,5.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,1,,,,,,1.0,Female,4.0,4.0,White,2.0,West South Central,Yes
660,0.0,0.0,,,,3.0,1,0,0,0,0.0,0,0,0,0,0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,1,,,,,,1.0,Female,5.0,3.0,White,2.0,West South Central,Yes
661,0.0,1.0,1.0,1.0,1.0,4.0,1,1,0,1,0.0,0,1,1,0,1,5.0,5.0,4.0,2.0,5.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0.0,1,1,1.0,1.0,1.0,1,1,1,0,0.5,4.0,4.0,4.0,5.0,5.0,1.0,1.0,1,,,,,,1.0,Female,4.0,5.0,White,3.0,South Atlantic,Yes
662,0.0,0.0,,,,2.0,1,1,1,1,0.0,0,1,1,1,0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,0.0,1,1,1.0,1.0,1.0,1,1,0,0,0.5,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1,,,,,,1.0,Male,5.0,4.0,Other,2.0,West South Central,Yes
663,0.0,1.0,1.0,1.0,0.0,6.0,1,0,0,1,1.0,0,1,0,0,0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,0,1,1.0,1.0,1.0,1,1,1,1,0.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1,,,,,,1.0,Male,5.0,3.0,White,2.0,West South Central,Yes
664,0.0,0.0,,,,6.0,1,1,1,1,1.0,0,1,1,0,0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,0,1.0,1,0,1.0,1.0,1.0,1,1,1,0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1,,,,,,1.0,Female,4.0,2.0,White,2.0,West South Central,Yes
665,0.0,0.0,,,,4.0,1,0,0,0,0.0,0,1,1,1,0,4.0,1.0,4.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,,,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,0,1,1,0,1.0,1,1,1.0,1.0,0.0,1,1,1,1,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,1,,,,,,1.0,Male,4.0,5.0,White,4.0,West South Central,Yes
666,0.0,1.0,1.0,1.0,0.0,6.0,1,1,0,0,0.0,0,0,0,0,0,3.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,0,0,1,0,0.5,4.0,4.0,4.0,4.0,3.0,2.0,3.0,1,,,,,,1.0,Female,4.0,2.0,White,2.0,West South Central,Yes
667,0.0,0.0,,,,6.0,1,0,0,0,1.0,0,1,1,0,0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,0.5,4.0,4.0,5.0,4.0,4.0,2.0,4.0,1,,,,,,1.0,Male,5.0,3.0,White,3.0,South Atlantic,Yes
668,0.0,1.0,1.0,1.0,0.0,6.0,1,0,0,0,0.0,0,1,0,0,0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,4.0,2.0,5.0,3.0,1.0,3.0,4.0,1,,,,,,1.0,Female,4.0,2.0,White,2.0,West South Central,Yes
669,0.0,1.0,1.0,1.0,0.0,6.0,1,0,0,1,0.0,0,1,1,0,0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1,,,,,,1.0,Male,5.0,4.0,White,2.0,West South Central,Yes
670,0.0,0.0,,,,5.0,1,0,1,0,0.0,0,1,0,0,0,3.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,,1.0,,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,1,1,1,0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,0,,,,,,1.0,Female,4.0,2.0,White,1.0,West South Central,Yes
671,0.0,0.0,,,,1.0,1,0,0,1,0.0,0,1,1,0,0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,0,1,1,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1,,,,,,1.0,Female,4.0,4.0,White,3.0,South Atlantic,Yes
672,0.0,0.0,,,,6.0,0,1,0,1,1.0,0,1,0,1,0,3.0,2.0,4.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,0,1,1,1,0.5,4.0,4.0,5.0,3.0,1.0,2.0,4.0,1,,,,,,1.0,Female,3.0,3.0,White,3.0,South Atlantic,Yes
673,0.0,0.0,,,,6.0,1,0,0,1,1.0,0,0,0,0,0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1.0,0,1,1.0,1.0,0.0,1,0,1,0,0.5,2.0,2.0,4.0,3.0,4.0,3.0,4.0,1,,,,,,0.0,Male,4.0,1.0,White,1.0,West South Central,Yes
674,0.0,0.0,,,,4.0,1,1,0,1,0.0,0,1,0,0,0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,0,1.0,5.0,5.0,5.0,3.0,1.0,2.0,4.0,0,,,,,,1.0,Female,4.0,1.0,White,2.0,South Atlantic,Yes
677,0.0,0.0,,,,5.0,1,0,0,0,0.0,0,0,0,0,0,1.0,4.0,4.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,5.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,0,1.0,1.0,1.0,1,1,0,0,0.5,4.0,4.0,2.0,3.0,1.0,1.0,3.0,1,,,,,,1.0,Female,4.0,2.0,White,2.0,West South Central,Yes
678,0.0,0.0,,,,6.0,1,0,1,1,0.0,0,0,1,1,0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,0,1.0,1.0,0.0,1,1,1,1,1.0,5.0,1.0,2.0,1.0,1.0,4.0,4.0,1,,,,,,1.0,Female,4.0,3.0,White,2.0,West South Central,Yes
679,0.0,0.0,,,,2.0,1,1,1,1,0.0,0,1,1,1,1,4.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,3.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,1,,,,,,1.0,Male,4.0,4.0,White,2.0,West South Central,Yes
680,0.0,0.0,,,,2.0,1,0,0,1,0.0,0,0,1,0,0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,0.0,1,1,1.0,1.0,1.0,1,1,1,0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,1,,,,,,1.0,Female,5.0,5.0,Other,2.0,West South Central,Yes
681,0.0,0.0,,,,6.0,1,0,0,1,0.0,0,1,0,0,0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,1,0,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,1,,,,,,1.0,Female,5.0,3.0,White,2.0,West South Central,Yes
682,0.0,1.0,1.0,1.0,0.0,3.0,1,1,0,0,1.0,0,1,0,0,0,4.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1,1.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,1,,,,,,1.0,Male,5.0,3.0,White,2.0,West South Central,Yes
684,0.0,0.0,,,,6.0,1,0,0,0,1.0,0,0,0,0,0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,1,,1,1,1.0,1.0,1.0,1,1,1,1,0.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1,,,,,,1.0,Male,5.0,2.0,White,3.0,West South Central,Yes
685,0.0,1.0,0.0,,,6.0,0,0,0,0,1.0,0,1,0,1,0,5.0,3.0,4.0,4.0,4.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,0,0.0,4.0,4.0,5.0,5.0,4.0,1.0,,0,,,,,,1.0,Female,4.0,1.0,Other,1.0,West South Central,Yes
686,1.0,0.0,,,,2.0,0,0,0,1,0.0,0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,0.0,0.0,0,1,1,1,0.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,1,,,,,,1.0,Female,4.0,2.0,White,3.0,West South Central,Yes
687,0.0,1.0,0.0,,,5.0,1,1,0,1,0.0,0,0,0,0,1,4.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,1,,,,,,1.0,Female,5.0,3.0,White,2.0,Pacific,Yes
688,0.0,1.0,1.0,0.0,,2.0,1,1,1,1,0.0,0,0,1,1,0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,4.0,1,,,,,,1.0,Female,4.0,3.0,White,2.0,West South Central,Yes
689,0.0,0.0,,,,5.0,1,0,0,0,0.0,0,1,0,0,0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,1,1,1,1,0.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,1,,,,,,1.0,Female,4.0,1.0,White,3.0,South Atlantic,Yes
690,0.0,0.0,,,,2.0,1,0,1,1,0.0,0,1,1,0,0,2.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,1.0,,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,1,,,,,,1.0,Female,4.0,5.0,White,2.0,West South Central,Yes
691,0.0,0.0,,,,5.0,1,0,1,1,0.0,0,1,1,0,1,3.0,2.0,3.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,1,1,0,1.0,1,1,1.0,1.0,1.0,0,1,1,1,,2.0,1.0,5.0,3.0,1.0,3.0,4.0,1,,,,,,1.0,Male,5.0,4.0,White,3.0,West South Central,Yes
692,0.0,0.0,,,,2.0,1,0,0,1,0.0,0,1,0,0,0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,1,1.0,1.0,0.0,0,1,1,1,,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1,,,,,,0.0,Female,4.0,3.0,White,2.0,Mid-Atlantic,Yes
693,0.0,1.0,1.0,0.0,,3.0,1,0,1,1,0.0,0,1,1,0,0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1.0,0,1,1.0,1.0,1.0,1,1,0,0,0.0,5.0,3.0,5.0,5.0,5.0,1.0,,0,,,,,,1.0,Female,3.0,3.0,White,2.0,West South Central,Yes
695,1.0,0.0,,,,6.0,1,1,0,1,1.0,0,0,0,0,0,3.0,5.0,4.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,0,1.0,1.0,0.0,0,1,1,1,0.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1,,,,,,1.0,Male,4.0,4.0,White,2.0,West South Central,Yes
696,0.0,1.0,0.0,,,6.0,1,0,0,1,0.0,0,0,0,1,0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,2.0,0,,,,,,1.0,Female,5.0,3.0,White,2.0,Mid-Atlantic,Yes
697,0.0,0.0,,,,5.0,1,0,0,0,0.0,0,1,0,1,0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,0.5,4.0,3.0,3.0,3.0,4.0,1.0,2.0,1,,,,,,1.0,Male,5.0,3.0,White,2.0,West South Central,Yes
698,0.0,0.0,,,,5.0,0,0,0,1,0.0,0,1,0,1,0,5.0,2.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1,1,0,0,1.0,1,1,1.0,1.0,0.0,0,1,1,1,0.5,5.0,5.0,5.0,2.0,1.0,2.0,4.0,1,,,,,,1.0,Female,5.0,4.0,White,2.0,West South Central,Yes
699,0.0,1.0,1.0,0.0,,6.0,0,1,1,1,0.0,0,0,0,0,0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,0.5,5.0,5.0,4.0,3.0,4.0,2.0,2.0,1,,,,,,1.0,Female,1.0,2.0,White,1.0,East North Central,Yes
700,0.0,0.0,,,,7.0,0,0,0,1,0.0,0,0,1,0,0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,1.0,4.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1,1,1,0,0,1.0,1,0,1.0,1.0,0.0,1,0,1,0,0.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,0,,,,,,1.0,Male,4.0,3.0,White,2.0,East North Central,Yes
701,0.0,0.0,,,,7.0,1,0,0,0,0.0,0,1,1,0,0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,1,1,1,1,0.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,0,,,,,,1.0,Female,2.0,2.0,White,2.0,South Atlantic,Yes
702,0.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1.0,0,1,1,1,1,5.0,5.0,2.0,4.0,3.0,1.0,4.0,4.0,1.0,5.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,0.0,1.0,1.0,5.0,4.0,1.0,2.0,4.0,1,,,,,,1.0,Male,3.0,1.0,White,1.0,East North Central,Yes
703,0.0,0.0,,,,6.0,1,0,0,0,0.0,0,0,0,1,0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1,0,1,1.0,1,0,1.0,1.0,0.0,0,1,1,1,1.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,1,,,,,,1.0,Male,5.0,5.0,White,3.0,West South Central,Yes
704,0.0,0.0,,,,6.0,1,1,0,1,0.0,0,1,0,0,0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,0.0,1,1,1.0,1.0,1.0,1,1,1,0,0.5,2.0,1.0,4.0,4.0,1.0,1.0,2.0,1,,,,,,0.0,Male,4.0,1.0,Hispanic,2.0,Pacific,Yes
